id;company;siret;ape;firstname;lastname;email;passwd;secure_key;salt;active
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;Coy99@hotmail.com;Money Market Account;Albania web-readiness;Namibia;39986
2;Gorgeous Frozen Pants;Common;Savings Account syndicate Planner;Refined Rubber Chicken Table;Automotive;Virgil.MacGyver30@hotmail.com;Intelligent;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;66252
3;hardware Costa Rica Mayotte;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;Nedra_Glover@yahoo.com;compelling mission-critical;bifurcated scalable;Small;98688
4;index orange;Jewelery;monitor;1080p Checking Account Identity;Frozen IB;Isobel6@yahoo.com;moratorium moratorium;New York tangible Mississippi;Frozen bus;76078
5;Idaho compress Avon;system Small;Intelligent Outdoors;Harbor Montana;Corporate Phased relationships;Columbus.Farrell59@hotmail.com;Chilean Peso Unidades de fomento;Web virtual deposit;Squares mint green e-business;88328
6;projection Fresh;support Gorgeous;withdrawal;copying;ability Hat Iraq;Damaris26@yahoo.com;User-centric Gloves;Mauritania;facilitate Tasty Concrete Chips Exclusive;69630
7;card Plastic;Computers Personal Loan Account Berkshire;Home;Investor Public-key;Lebanon;Winona59@yahoo.com;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;bypassing optical;15071
8;Bedfordshire;Refined Rubber Gloves Algerian Dinar Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;Evan20@hotmail.com;Tanzania Fiji Dollar Profound;parsing;Borders content-based;99625
9;Agent;Human deposit;even-keeled Saint Helena Pound;Internal AI optical;bypassing Marketing;Stanford_Ortiz@hotmail.com;transform;invoice Home Gloves;Buckinghamshire Ports;99445
10;Fish;Networked;Fish;payment calculating;local area network Benin;Fredy25@yahoo.com;Wisconsin;target Human withdrawal;dot-com payment Libyan Dinar;86416
